City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Portland,Subway (4328 SE 82nd Ave),2024-08-27T01:46:05.000Z,2024-08-27T02:04:41.000Z,completed,Veggie Patty,1,"Toasted, Creamy Sriracha, Cucumbers, Tomatoes, Jalapeños, Black Olives, Baja Chipotle, Provolone, SubKrunch™, 6'', Hearty Multigrain, Red Onions, American Cheese, Lettuce, Green Peppers",0.0,"",9.39,13.95,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-27T01:46:05.000Z,2024-08-27T02:04:41.000Z,completed,Veggie Patty,1,Smashed Avocado,1.1,"",9.39,13.95,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-24T02:39:52.000Z,2024-08-24T03:09:13.000Z,completed,Grilled Chicken,1,"Provolone, Toasted, Creamy Sriracha, SubKrunch™, Hearty Multigrain, Red Onions, American Cheese, Lettuce, Jalapeños, Tomatoes, Green Peppers",0.0,"",9.99,21.64,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-24T02:39:52.000Z,2024-08-24T03:09:13.000Z,completed,Grilled Chicken,1,Smashed Avocado,2.3,"",9.99,21.64,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-24T02:39:52.000Z,2024-08-24T03:09:13.000Z,completed,Grilled Chicken,1,Footlong,4.4,"",9.99,21.64,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-03T01:30:11.000Z,2024-08-03T01:58:15.000Z,completed,Veggie Patty,1,"Green Peppers, Creamy Sriracha, Italian Herbs & Cheese, SubKrunch™, 6'', Hearty Multigrain, Red Onions, American Cheese, Pepper Jack, Lettuce, Jalapeños, Tomatoes, Toasted",0.0,"",9.39,0.0,USD
Portland,Subway (4328 SE 82nd Ave),2024-08-03T01:30:11.000Z,2024-08-03T01:58:15.000Z,completed,Veggie Patty,1,Smashed Avocado,1.1,"",9.39,0.0,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-15T01:04:42.000Z,2024-06-15T01:28:43.000Z,completed,Veggie Patty,1,"Hearty Multigrain, Red Onions, American Cheese, Lettuce, Black Pepper, Jalapeños, Baja Chipotle, Tomatoes, Toasted",0.0,"",9.39,22.36,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-15T01:04:42.000Z,2024-06-15T01:28:43.000Z,completed,Veggie Patty,1,Smashed Avocado,2.3,"",9.39,22.36,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-15T01:04:42.000Z,2024-06-15T01:28:43.000Z,completed,Veggie Patty,1,Double Protein,3.6,"",9.39,22.36,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-15T01:04:42.000Z,2024-06-15T01:28:43.000Z,completed,Veggie Patty,1,Footlong,4.0,"",9.39,22.36,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-08T01:09:10.000Z,2024-06-08T01:32:41.000Z,completed,Veggie Patty,1,"Hearty Multigrain, Red Onions, American Cheese, Lettuce, Black Pepper, Jalapeños, Baja Chipotle, Tomatoes, Toasted",0.0,"",9.39,22.75,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-08T01:09:10.000Z,2024-06-08T01:32:41.000Z,completed,Veggie Patty,1,Double Protein,3.6,"",9.39,22.75,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-08T01:09:10.000Z,2024-06-08T01:32:41.000Z,completed,Veggie Patty,1,Smashed Avocado,2.3,"",9.39,22.75,USD
Portland,Subway (4328 SE 82nd Ave),2024-06-08T01:09:10.000Z,2024-06-08T01:32:41.000Z,completed,Veggie Patty,1,Footlong,4.0,"",9.39,22.75,USD
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Reddy Ice Family pack Pure Ice Bag,1,"",,"",3.79,23.24,USD
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Planters Heat Peanuts,5,"",,"",3.95,23.24,USD
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Ritz Nabisco Bits Cracker Sandwiches (cheese ),4,"",,"",10.36,23.24,USD
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Wonderful Pistachios (sweet chili),1,"",,"",5.09,23.24,USD
